STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,airpol,Air pollutants and greenhouse gases,indic_env,Environment indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,AT,Austria,2014,,8309.85939,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,AT,Austria,2015,,8363.74627,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,AT,Austria,2016,,8250.99622,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,AT,Austria,2017,,8559.95488,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,AT,Austria,2018,,8135.98014,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,AT,Austria,2019,,8502.81742,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,AT,Austria,2020,,7696.17821,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,AT,Austria,2021,,8055.81094,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,AT,Austria,2022,,7969.76678,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,AT,Austria,2023,,7583.78966,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BE,Belgium,2014,,10407.48231,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BE,Belgium,2015,,10656.92304,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BE,Belgium,2016,,10560.71808,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BE,Belgium,2017,,10483.84898,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BE,Belgium,2018,,10555.13428,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BE,Belgium,2019,,10452.05661,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BE,Belgium,2020,,9474.38689,,,,,
