STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,tax,Taxes,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,AT,Austria,2014,,8646.05,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,AT,Austria,2015,,9035.19,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,AT,Austria,2016,,9411.25,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,AT,Austria,2017,,9699.45,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,AT,Austria,2018,,9570.78,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,AT,Austria,2019,,9683.84,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,AT,Austria,2020,,8812.41,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,AT,Austria,2021,,9777.68,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,AT,Austria,2022,,8522.73,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,AT,Austria,2023,,9533.28,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BE,Belgium,2014,,10164.9,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BE,Belgium,2015,,10594.1,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BE,Belgium,2016,,11480.2,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BE,Belgium,2017,,11993.6,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BE,Belgium,2018,,12381.1,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BE,Belgium,2019,,12609.7,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BE,Belgium,2020,,11602.6,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BE,Belgium,2021,,12528.9,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BE,Belgium,2022,,12376.3,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BE,Belgium,2023,,13820.15,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BG,Bulgaria,2014,,1220.69,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BG,Bulgaria,2015,,1351.75,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BG,Bulgaria,2016,,1451.17,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BG,Bulgaria,2017,,1468.91,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BG,Bulgaria,2018,,1470.47,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BG,Bulgaria,2019,,1839.15,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BG,Bulgaria,2020,,1859.12,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BG,Bulgaria,2021,,1978.7,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BG,Bulgaria,2022,,4095.16,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BG,Bulgaria,2023,,3176.26,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2014,,7268.44,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2015,,8484.09,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2016,,8587.09,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2017,,8518.01,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2018,,8620.47,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2019,,9046.56,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2020,,9036.74,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2021,,9187.76,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2022,,9888.9,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2023,,9832.04,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2014,,591.97,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2015,,603.29,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2016,,614.33,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2017,,662.26,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2018,,674.6,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2019,,644.17,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2020,,580.58,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2021,,639.3,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2022,,610.14,,,,,
