STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sizeclas,Size classes in number of employees,indic_sbs,Economic indicator for structural business statistics,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",AT,Austria,2021,,589615,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",AT,Austria,2022,,583947,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",BE,Belgium,2021,,843146,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",BE,Belgium,2022,,888925,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",BG,Bulgaria,2021,,382086,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",BG,Bulgaria,2022,,394135,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",CY,Cyprus,2021,,83062,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",CY,Cyprus,2022,,87707,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",CZ,Czechia,2021,,1254110,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",CZ,Czechia,2022,,1292436,,,,,
